Page_Number,URL,Title,Word_Count
1,"https://bharathatechno.com/","Custom Web App Development in Pune | Global Services",44
2,"https://bharathatechno.com/work/nikitas-curry-corner","Custom Indian Food Delivery Website for Nikita's Curry Corner",205
3,"https://bharathatechno.com/blog/react-native","React Native App Development Company | BharathaTechno",1977
4,"https://bharathatechno.com/work/r3constructor","R3Constructor: Next.js Website Development | PCMC",202
5,"https://bharathatechno.com/offerings/services/corporate-training","Corporate Training in Pune: MERN; MEAN; JavaScript | BharathaTechno IT",44
6,"https://bharathatechno.com/sitemap-0.xml","No Title",1
7,"https://bharathatechno.com/work/everwinpt","Static Website Development for EverwinPT",193
8,"https://bharathatechno.com/refund-policy","Refund Policy | BharathaTechno IT Pvt. Ltd.",44
9,"https://bharathatechno.com/offerings/products","Custom Software Products for Business | BharathaTechno IT",44
10,"https://bharathatechno.com/terms-and-conditions","Terms and conditions | BharathaTechno IT Pvt. Ltd.",365
11,"https://bharathatechno.com/offerings/services/cloud-infrastructure-management","Cloud Infrastructure Management Services | BharathaTechno IT",644
12,"https://bharathatechno.com/animated-icons","Custom Web App Development in Pune | Global Services",44
13,"https://bharathatechno.com/work/sachniti","BharathaTechno IT - Sachniti Static Website Development",196
14,"https://bharathatechno.com/offerings/services/full-stack-development","Full Stack Development Service in Pune | BharathaTechno IT",44
15,"https://bharathatechno.com/offerings/services/custom-erp-solutions","Custom ERP Development Services | BharathaTechno IT",477
16,"https://bharathatechno.com/blog/nextjs-website","Top Website Development Company in Pune | Expert Web & Ecommerce Solutions",1346
17,"https://bharathatechno.com/work/snumero","Snumero: Next.js Website with Local SEO for Business Growth",215
18,"https://bharathatechno.com/work","Full Stack Solutions for Web & Mobile | BharathaTechno IT",745
19,"https://bharathatechno.com/blog/cloud-kitchen-in-pune","No Title",1096
20,"https://bharathatechno.com/work/train-2-gain","Train 2 Gain: Custom WordPress Website Development",188
21,"https://bharathatechno.com/work/shred-n-shape","Shred n Shape Fitness Program Web App based in UK",44
22,"https://bharathatechno.com/offerings/products/b-store","B-Store: Custom Web App for Fashion Business",523
23,"https://bharathatechno.com/blog/web-application-and-security","Security First - Web Application and Security in 2025",1472
24,"https://bharathatechno.com/sitemap.xml","No Title",1
25,"https://bharathatechno.com/offerings/services/performance-marketing","Performance Marketing Services in Pune | BharathaTechno IT",452
26,"https://bharathatechno.com/offerings/services/ui-ux-brand-design","UI/UX Design Services in Pune | BharathaTechno IT",511
27,"https://bharathatechno.com/work/urban-axis","UrbanAxis: Next.js Website with SEO for Business Growth",202
28,"https://bharathatechno.com/offerings/products/b-fit","B-Fit: Fitness Training Software by BharathaTechno IT",44
29,"https://bharathatechno.com/blog","IT Company in Pune | BharathaTechno IT Pvt. Ltd.",44
30,"https://bharathatechno.com/blog/mern-stack","MERN Stack Development Services | Scalable Apps Made Simple",2010
31,"https://bharathatechno.com/work/trendy-threads","Trendy Threads: E-commerce Web App | BharathaTechno IT",203
32,"https://bharathatechno.com/about","BharathaTechno IT | Software Product Development & IT Solutions",563
33,"https://bharathatechno.com/offerings/products/b-chef","B-Chef: Food Ordering & Delivery Software | BharathaTechno IT",591
34,"https://bharathatechno.com/work/intignus-biotech","Custom WordPress Website for Intignus Biotech | Pune",184
35,"https://bharathatechno.com/offerings/services/technical-documentation","Technical Documentation Services | BharathaTechno IT",44
36,"https://bharathatechno.com/privacy-policy","Privacy Policy | BharathaTechno IT Pvt. Ltd.",323
37,"https://bharathatechno.com/offerings/services/staff-augmentation","Staff Augmentation Services | MERN & MEAN Stack Experts",528
38,"https://bharathatechno.com/contact","Software Development and Consulting | BharathaTechno IT Pvt. Ltd.",143
